County,Race,Coverage,Total Count
Mifflin,African American,Partially Covered,17
Mifflin,Asian,Fully Covered,
Mifflin,Asian,Partially Covered,
Mifflin,Multiple/Other,Fully Covered,58
Mifflin,Multiple/Other,Partially Covered,126
Mifflin,Unknown,Fully Covered,268
Mifflin,Unknown,Partially Covered,373
Mifflin,White,Fully Covered,1264
Mifflin,White,Partially Covered,4063
Monroe,African American,Fully Covered,211
Monroe,African American,Partially Covered,363
Monroe,Asian,Fully Covered,
Monroe,Asian,Partially Covered,8
Monroe,Multiple/Other,Fully Covered,297
Monroe,Multiple/Other,Partially Covered,328
Monroe,Unknown,Fully Covered,593
Monroe,Unknown,Partially Covered,1147
Monroe,White,Fully Covered,3571
Monroe,White,Partially Covered,6224
Montgomery,African American,Fully Covered,776
Montgomery,African American,Partially Covered,2335
Montgomery,Asian,Fully Covered,152
Montgomery,Asian,Partially Covered,467
Montgomery,Multiple/Other,Fully Covered,2608
Montgomery,Multiple/Other,Partially Covered,2952
Montgomery,Unknown,Fully Covered,10655
Montgomery,Unknown,Partially Covered,17367
Montgomery,White,Fully Covered,13961
Montgomery,White,Partially Covered,50676
Montour,African American,Fully Covered,59
Montour,African American,Partially Covered,16
Montour,Asian,Fully Covered,26
Montour,Asian,Partially Covered,14
Montour,Multiple/Other,Fully Covered,37
Montour,Multiple/Other,Partially Covered,46
Montour,Unknown,Fully Covered,461
Montour,Unknown,Partially Covered,271
Montour,White,Fully Covered,2473
Montour,White,Partially Covered,2602
Northampton,African American,Fully Covered,337
Northampton,African American,Partially Covered,432
Northampton,Asian,Fully Covered,21
Northampton,Asian,Partially Covered,33
Northampton,Multiple/Other,Fully Covered,1167
Northampton,Multiple/Other,Partially Covered,1033
Northampton,Unknown,Fully Covered,2839
Northampton,Unknown,Partially Covered,3443
Northampton,White,Fully Covered,15262
Northampton,White,Partially Covered,21765
Northumberland,African American,Fully Covered,17
Northumberland,African American,Partially Covered,32
Northumberland,Asian,Fully Covered,
Northumberland,Asian,Partially Covered,7
Northumberland,Multiple/Other,Fully Covered,351
Northumberland,Multiple/Other,Partially Covered,290
Northumberland,Unknown,Fully Covered,698
Northumberland,Unknown,Partially Covered,1197
Northumberland,White,Fully Covered,3698
Northumberland,White,Partially Covered,8507
Perry,African American,Fully Covered,5
Perry,African American,Partially Covered,
Perry,Multiple/Other,Fully Covered,29
Perry,Multiple/Other,Partially Covered,24
Perry,Unknown,Fully Covered,241
Perry,Unknown,Partially Covered,219
Perry,White,Fully Covered,530
Perry,White,Partially Covered,1829
Philadelphia,African American,Partially Covered,2777
Philadelphia,African American,Fully Covered,1650
Philadelphia,Asian,Fully Covered,66
Philadelphia,Asian,Partially Covered,214
Philadelphia,Multiple/Other,Fully Covered,1253
Philadelphia,Multiple/Other,Partially Covered,1304
Philadelphia,Unknown,Fully Covered,4651
Philadelphia,Unknown,Partially Covered,5555
Philadelphia,White,Fully Covered,3767
Philadelphia,White,Partially Covered,6903
Pike,African American,Fully Covered,21
Pike,African American,Partially Covered,50
Pike,Asian,Fully Covered,
Pike,Asian,Partially Covered,
Pike,Multiple/Other,Fully Covered,117
Pike,Multiple/Other,Partially Covered,306
Pike,Unknown,Fully Covered,306
Pike,Unknown,Partially Covered,667
Pike,White,Fully Covered,815
Pike,White,Partially Covered,1794
Potter,African American,Fully Covered,
Potter,Asian,Fully Covered,
Potter,Asian,Partially Covered,
Potter,Multiple/Other,Partially Covered,
Potter,Unknown,Fully Covered,109
Potter,Unknown,Partially Covered,53
Potter,White,Fully Covered,291
Potter,White,Partially Covered,440
Schuylkill,African American,Partially Covered,24
Schuylkill,African American,Fully Covered,17
Schuylkill,Asian,Fully Covered,
Schuylkill,Asian,Partially Covered,
Schuylkill,Multiple/Other,Fully Covered,417
Schuylkill,Multiple/Other,Partially Covered,334
Schuylkill,Unknown,Fully Covered,1193
Schuylkill,Unknown,Partially Covered,1453
Schuylkill,White,Fully Covered,5227
Schuylkill,White,Partially Covered,8778
Snyder,African American,Fully Covered,
Snyder,African American,Partially Covered,10
Snyder,Asian,Fully Covered,
Snyder,Multiple/Other,Fully Covered,222
Snyder,Multiple/Other,Partially Covered,111
Snyder,Unknown,Fully Covered,220
Snyder,Unknown,Partially Covered,494
Snyder,White,Fully Covered,809
Snyder,White,Partially Covered,2904
Somerset,African American,Fully Covered,
Somerset,African American,Partially Covered,163
Somerset,Asian,Fully Covered,
Somerset,Asian,Partially Covered,
Somerset,Multiple/Other,Fully Covered,140
Somerset,Multiple/Other,Partially Covered,153
Somerset,Unknown,Fully Covered,686
Somerset,Unknown,Partially Covered,1092
Somerset,White,Fully Covered,1351
Somerset,White,Partially Covered,3861
Sullivan,Multiple/Other,Fully Covered,11
Sullivan,Multiple/Other,Partially Covered,27
Sullivan,Unknown,Fully Covered,133
Sullivan,Unknown,Partially Covered,60
Sullivan,White,Fully Covered,146
Sullivan,White,Partially Covered,493
Susquehanna,African American,Fully Covered,
Susquehanna,African American,Partially Covered,
Susquehanna,Asian,Fully Covered,
Susquehanna,Multiple/Other,Fully Covered,33
Susquehanna,Multiple/Other,Partially Covered,80
Susquehanna,Unknown,Fully Covered,691
Susquehanna,Unknown,Partially Covered,549
Susquehanna,White,Fully Covered,889
Susquehanna,White,Partially Covered,1468
Tioga,African American,Partially Covered,
Tioga,African American,Fully Covered,
Tioga,Asian,Fully Covered,
Tioga,Multiple/Other,Fully Covered,99
Tioga,Multiple/Other,Partially Covered,37
Tioga,Unknown,Fully Covered,189
